Rk,Player,NHL ID,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS
1,Sergei Zubov*,zubovse01,23,D,78,12,77,89,20,39,3,9,0,1,36,40,1,222,5.4,,,6.9,5.6,12.5
2,Mark Messier*,messima01,33,C,76,26,58,84,25,76,18,6,2,5,21,30,7,216,12,,,6.4,1.8,8.1
3,Adam Graves,gravead01,25,LW,84,52,27,79,27,127,28,20,4,4,18,8,1,291,17.9,,,7.8,1.9,9.8
4,Brian Leetch*,leetcbr01,25,D,84,23,56,79,28,67,5,17,1,4,18,36,2,328,7,,,6.8,6.4,13.3
5,Steve Larmer,larmest01,32,RW,68,21,39,60,14,41,11,6,4,7,22,15,2,146,14.4,,,4.2,1.3,5.6
6,Alex Kovalev,kovalal01,20,C,76,23,33,56,18,154,16,7,0,3,27,6,0,184,12.5,,,3.8,1.6,5.3
7,Esa Tikkanen,tikkaes01,29,LW,83,22,32,54,5,114,14,5,3,4,15,16,1,257,8.6,,,3.2,1.2,4.5
8,Mike Gartner*,gartnmi01,34,RW,71,28,24,52,11,58,13,10,5,4,16,7,1,245,11.4,,,4,1.3,5.3
9,Sergei Nemchinov,nemchse01,30,C,76,22,27,49,13,36,18,4,0,6,21,3,3,144,15.3,,,3.1,1.4,4.5
10,Tony Amonte,amontto01,23,RW,72,16,22,38,5,31,13,3,0,4,15,7,0,179,8.9,,,1.8,1.1,2.9
11,Kevin Lowe*,loweke01,34,D,71,5,14,19,4,70,5,0,0,1,9,2,3,50,10,,,0.5,4.2,4.7
12,Alexander Karpovtsev,karpoal01,23,D,67,3,15,18,12,58,2,1,0,1,10,4,1,78,3.8,,,0.4,4.5,4.8
13,Jeff Beukeboom,beukeje01,28,D,68,8,8,16,18,170,7,1,0,0,8,0,0,58,13.8,,,0.6,4.9,5.5
14,Greg Gilbert,gilbegr01,32,LW,76,4,11,15,-3,29,3,1,0,0,11,0,0,64,6.3,,,-1.3,0.9,-0.4
15,Mike Hudson,hudsomi01,26,C,48,4,7,11,-5,47,4,0,0,1,7,0,0,48,8.3,,,-0.6,0.5,-0.1
16,Jay Wells,wellsja01,34,D,79,2,7,9,4,110,2,0,0,0,7,0,0,64,3.1,,,-0.7,4.6,3.9
17,Nick Kypreos,kypreni01,27,RW,46,3,5,8,-8,102,3,0,0,1,5,0,0,29,10.3,,,-0.8,0.3,-0.5
18,Ed Olczyk,olczyed01,27,C,37,3,5,8,-1,28,3,0,0,1,5,0,0,40,7.5,,,-0.5,0.4,0
19,Stephane Matteau,mattest01,24,LW,12,4,3,7,5,2,3,1,0,0,3,0,0,22,18.2,,,0.5,0.3,0.8
20,Glenn Anderson*,andergl01,33,RW,12,4,2,6,1,12,2,2,0,0,1,1,0,22,18.2,,,0.4,0.2,0.6
21,Craig MacTavish,mactacr01,35,C,12,4,2,6,6,11,3,1,0,1,2,0,0,25,16,,,0.4,0.3,0.7
22,Brian Noonan,noonabr01,28,RW,12,4,2,6,5,12,2,2,0,3,2,0,0,26,15.4,,,0.4,0.3,0.7
23,Darren Turcotte,turcoda01,25,C,13,2,4,6,-2,13,2,0,0,0,1,3,0,17,11.8,,,0.2,0.1,0.3
24,Joe Kocur,kocurjo01,29,RW,71,2,1,3,-9,129,2,0,0,0,1,0,0,43,4.7,,,-2.3,0.6,-1.7
25,James Patrick,patrija01,30,D,6,0,3,3,1,2,0,0,0,0,2,1,0,6,0,,,0.1,0.4,0.5
26,Peter Andersson,anderpe03,28,D,8,1,1,2,-3,2,0,0,1,1,1,0,0,10,10,,,0.1,0.3,0.3
27,Mike Hartman,hartmmi01,26,LW,35,1,1,2,-5,70,1,0,0,0,1,0,0,19,5.3,,,-1.1,0.3,-0.8
28,Glenn Healy,healygl01,31,G,29,0,2,2,0,2,0,0,0,0,,,,0,,1368,47:11:00,0,0,2.2
29,Doug Lidster,lidstdo01,33,D,34,0,2,2,-12,33,0,0,0,0,2,0,0,25,0,,,-0.5,1.1,0.6
30,Joby Messier,messijo01,23,D,4,0,2,2,-1,0,0,0,0,0,2,0,0,7,0,,,0.1,0.2,0.2
31,Mattias Norström,norstma01,22,D,9,0,2,2,0,6,0,0,0,0,2,0,0,3,0,,,0,0.5,0.5
32,Phil Bourque,bourqph01,31,LW,16,0,1,1,-2,8,0,0,0,0,1,0,0,2,0,,,-0.5,0.1,-0.4
33,Jim Hiller,hilleji01,24,RW,2,0,0,0,1,7,0,0,0,0,0,0,0,0,,,,-0.1,0.1,0
34,Daniel Lacroix,lacroda01,24,C,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,-0.2,0.1,-0.1
35,Todd Marchant,marchto01,20,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,,,0,0,-0.1
36,Mike Richter,richtmi01,27,G,68,0,0,0,0,2,0,0,0,0,,,,0,,3710,54:34:00,0,0,11.7
